City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,Kaoma,-14.7833,24.8,18.37,98,100,2.56,ZM,1675552832
127,Tuktoyaktuk,69.4541,-133.0374,-42.0,66,20,1.03,CA,1675552833
128,Dikson,73.5069,80.5464,-19.39,97,100,1.34,RU,1675552834
129,Udachny,66.4167,112.4,-41.42,72,78,0.07,RU,1675552834
130,Baruun-Urt,46.6806,113.2792,-20.32,90,29,0.7,MN,1675552834
131,Koutsouras,35.0339,25.9469,11.73,69,45,3.89,GR,1675552835
132,Kulhudhuffushi,6.6221,73.07,26.67,78,100,2.11,MV,1675552835
133,Magistral'nyy,56.1725,107.4458,-14.51,97,100,1.32,RU,1675552835
134,Sarkand,45.41,79.9186,-4.89,78,87,3.28,KZ,1675552836
135,Kifrī,34.6959,44.9661,9.66,52,100,4.04,IQ,1675552836
136,Danilovka,50.3557,44.1168,-6.62,96,97,2.85,RU,1675552837
137,Klaksvík,62.2266,-6.589,4.51,74,50,13.96,FO,1675552837
138,Brae,60.3964,-1.353,5.53,65,51,9.8,GB,1675552838
139,Kattivākkam,13.2167,80.3167,24.05,72,5,0.74,IN,1675552717
140,Singleton,-32.5667,151.1833,24.05,31,0,1.88,AU,1675552839
141,Jaisalmer,26.9147,70.9181,19.51,21,0,2.63,IN,1675552840
142,Xining,36.6167,101.7667,-2.97,36,13,0.81,CN,1675552840
143,Mayumba,-3.432,10.6554,24.75,89,90,1.6,GA,1675552841
144,Clyde River,70.4692,-68.5914,-25.87,58,100,8.23,CA,1675552798
145,Vila Franca do Campo,37.7167,-25.4333,14.23,84,2,3.25,PT,1675552841
146,Saskylakh,71.9167,114.0833,-34.93,98,90,1.43,RU,1675552599
147,Casper,42.8666,-106.3131,2.62,59,0,8.75,US,1675552842
148,Sweetwater,25.7634,-80.3731,23.01,79,75,8.75,US,1675552842
149,Necochea,-38.5473,-58.7368,17.73,65,0,4.73,AR,1675552842
150,Balkhash,46.844,74.9804,-8.45,96,94,2.32,KZ,1675552843
151,Pokhara,28.2333,83.9833,12.22,46,5,2.18,NP,1675552843
152,Den Helder,52.9599,4.7593,7.79,99,100,2.68,NL,1675552843
153,Lompoc,34.6391,-120.4579,21.08,77,100,5.81,US,1675552562
154,Turukhansk,65.8167,87.9833,-13.55,96,97,2.98,RU,1675552844
155,Nuuk,64.1835,-51.7216,-20.82,79,100,5.36,GL,1675552758
156,Araouane,18.9048,-3.5265,16.03,17,99,5.2,ML,1675552844
157,Agüimes,27.9054,-15.4461,13.35,72,20,3.6,ES,1675552844
158,Nyurba,63.2842,118.3319,-47.54,100,100,0.82,RU,1675552845
159,Yeniseysk,58.4497,92.1703,-17.14,99,99,0.47,RU,1675552845
160,Birjand,32.8663,59.2211,6.26,75,40,5.14,IR,1675552845
161,Iqaluit,63.7506,-68.5145,-36.84,65,40,7.2,CA,1675552846
162,Barrow,71.2906,-156.7887,-30.99,76,40,4.12,US,1675552597
163,Danielskuil,-28.1887,23.5395,22.81,43,95,2.98,ZA,1675552733
164,Port Elizabeth,-33.918,25.5701,29.16,39,0,6.17,ZA,1675552846
165,Les Cayes,18.2,-73.75,24.52,75,13,3.46,HT,1675552846
166,Waingapu,-9.6567,120.2641,24.56,89,100,3.68,ID,1675552847
167,Wewak,-3.5534,143.6268,26.72,83,100,1.65,PG,1675552847
168,Kutum,14.2,24.6667,15.5,19,99,3.29,SD,1675552848
169,Labuhan,-6.8844,112.2051,25.14,87,100,2.78,ID,1675552617
170,Liverpool,53.4106,-2.9779,6.97,82,0,3.6,GB,1675552783
171,San Cristobal,7.7669,-72.225,23.1,58,38,0.82,VE,1675552848
172,Coyhaique,-45.5752,-72.0662,25.97,38,20,3.09,CL,1675552849
173,Tchamba,9.0333,1.4167,28.1,16,78,1.67,TG,1675552849
174,Nueva Granada,9.8017,-74.393,31.36,36,39,1.59,CO,1675552849
175,Tacuarembó,-31.7333,-55.9833,22.46,34,0,4.15,UY,1675552850
176,Alegrete,-29.7831,-55.7919,25.9,26,4,4.87,BR,1675552808
177,Taltal,-25.4,-70.4833,22.02,77,53,1.37,CL,1675552556
178,Kimitsu,35.3253,139.8911,6.2,56,4,4.39,JP,1675552804
179,Osakarovka,50.565,72.5692,-15.28,96,79,3.2,KZ,1675552850
180,Kirakira,-10.4544,161.9205,30.0,71,48,1.65,SB,1675552730
181,Potsdam,52.3989,13.0657,0.06,81,16,1.45,DE,1675552851
182,Acapulco de Juárez,16.8634,-99.8901,29.9,58,0,2.57,MX,1675552851
183,Napier City,-39.4833,176.9167,22.33,76,3,3.1,NZ,1675552851
184,Piteå,65.3172,21.4794,-18.95,84,99,2.21,SE,1675552851
185,Auki,-8.7676,160.7034,27.71,83,100,2.77,SB,1675552618
186,Narsaq,60.9167,-46.05,-3.88,88,100,3.62,GL,1675552852
187,Saint George,37.1041,-113.5841,16.91,29,0,1.54,US,1675552767
188,Majene,-3.5403,118.9707,25.5,77,100,2.22,ID,1675552852
189,Ishinomaki,38.4167,141.3,0.0,68,8,2.96,JP,1675552853
190,Maryville,35.7565,-83.9705,8.11,57,100,0.45,US,1675552853
191,Vestmanna,62.1564,-7.1664,3.51,81,75,10.8,FO,1675552598
192,Northam,51.0333,-4.2167,10.22,92,100,2.63,GB,1675552854
193,Egvekinot,66.3167,-179.1667,-32.64,88,15,6.1,RU,1675552854
194,Salinópolis,-0.6136,-47.3561,25.82,87,99,5.52,BR,1675552854
195,Tambopata,-12.7333,-69.1833,24.94,78,75,1.03,PE,1675552854
196,Los Llanos de Aridane,28.6585,-17.9182,14.86,68,75,6.69,ES,1675552855
197,Katsuura,35.1333,140.3,7.16,66,11,6.45,JP,1675552855
198,Sørland,67.667,12.6934,3.92,95,100,17.59,NO,1675552855
199,Codrington,-38.2667,141.9667,15.63,75,100,2.79,AU,1675552856
200,Sotik Post,-0.7813,35.3416,11.38,64,75,1.49,KE,1675552856
201,Bulgan,48.8125,103.5347,-18.89,89,84,1.29,MN,1675552856
202,Chibuto,-24.6867,33.5306,22.65,89,11,3.19,MZ,1675552857
203,Guerrero Negro,27.9769,-114.0611,19.86,41,0,5.26,MX,1675552857
204,Bengkulu,-3.8004,102.2655,23.34,89,100,2.21,ID,1675552560
205,Sepuka,-4.75,34.5333,15.34,86,58,2.14,TZ,1675552857
206,Sirte,31.2089,16.5887,14.07,69,35,2.16,LY,1675552858
207,Gushikawa,26.3544,127.8686,17.57,94,100,4.12,JP,1675552858
208,Lazurne,46.084,32.5295,1.08,78,100,8.93,UA,1675552858
209,Kiryat Gat,31.61,34.7642,12.44,100,73,3.41,IL,1675552859
210,Ostrovnoy,68.0531,39.5131,-10.1,84,100,5.56,RU,1675552782
211,Talnakh,69.4865,88.3972,-11.55,95,100,3.13,RU,1675552738
212,Kaliua,-5.0606,31.7936,18.03,90,76,1.15,TZ,1675552859
213,Carnarvon,-24.8667,113.6333,26.05,70,1,3.19,AU,1675552795
214,Raudeberg,61.9875,5.1352,2.75,20,100,7.21,NO,1675552859
215,Plouzané,48.3833,-4.6167,7.1,81,100,1.54,FR,1675552860
216,Port Lincoln,-34.7333,135.8667,18.17,66,61,2.04,AU,1675552855
217,Botou,38.0667,116.5667,0.05,65,0,3.72,CN,1675552860
218,Antalaha,-14.9003,50.2788,23.84,88,41,2.16,MG,1675552861
219,Prijepolje,43.3719,19.6406,-4.82,94,100,4.34,RS,1675552861
220,Carutapera,-1.195,-46.02,24.71,93,100,3.49,BR,1675552608
221,Saint Lawrence,36.0553,14.204,11.67,71,12,8.11,MT,1675552862
222,Mokhsogollokh,61.4681,128.9203,-38.16,100,98,1.6,RU,1675552863
223,Qarayeri,40.7886,46.3066,2.49,51,75,3.09,AZ,1675552865
224,Montesarchio,41.0654,14.6402,6.49,47,39,6.61,IT,1675552868
225,Lebu,-37.6167,-73.65,16.34,89,59,1.37,CL,1675552870
226,Tiznit Province,29.5833,-9.5,10.27,42,6,1.19,MA,1675552871
227,Waipawa,-41.4122,175.5153,23.93,62,28,3.17,NZ,1675552875
228,Arlit,18.7369,7.3853,22.02,10,15,4.85,NE,1675552876
229,Hobyo,5.3505,48.5268,23.61,74,58,6.79,SO,1675552877
230,Pevek,69.7008,170.3133,-37.31,100,94,0.65,RU,1675552879
231,Praia da Vitória,38.7333,-27.0667,15.98,94,20,6.22,PT,1675552880
232,Port Blair,11.6667,92.75,26.02,89,40,2.57,IN,1675552881
233,Sibolga,1.7427,98.7792,24.08,86,100,1.18,ID,1675552882
234,Nakonde,-9.3421,32.745,15.34,96,100,1.32,ZM,1675552882
235,Panguipulli,-39.6333,-72.3333,31.57,29,2,2.96,CL,1675552883
236,Touros,-5.1989,-35.4608,26.51,80,82,6.09,BR,1675552652
237,Lembeni,-3.7833,37.6167,19.51,89,65,2.04,TZ,1675552884
238,Katherine,-14.4667,132.2667,26.18,73,33,2.57,AU,1675552884
239,Saravena,6.9538,-71.8752,27.11,47,69,1.5,CO,1675552885
240,Ilulissat,69.2167,-51.1,-18.99,71,73,3.09,GL,1675552887
241,Port-Gentil,-0.7193,8.7815,25.98,94,20,1.54,GA,1675552888
242,Nanhai,30.1282,111.7784,5.35,68,47,1.41,CN,1675552889
243,Kidal,18.4411,1.4078,20.43,10,94,5.57,ML,1675552891
244,Vitim,59.4511,112.5578,-16.39,97,100,2.12,RU,1675552892
245,Saint-Philippe,-21.3585,55.7679,24.77,86,99,4.62,RE,1675552893
246,Edgewater,28.9889,-80.9023,19.54,63,75,7.72,US,1675552893
247,Vardø,70.3705,31.1107,-8.01,79,20,5.66,NO,1675552893
248,Marzuq,14.4,46.4667,17.14,65,40,0.76,YE,1675552893
249,High Prairie,55.4334,-116.4858,0.39,95,95,1.5,CA,1675552894
250,Sydney,-33.8679,151.2073,26.45,42,0,3.09,AU,1675552713
251,Esperance,-33.8667,121.9,19.38,61,0,6.87,AU,1675552894
252,Zhireken,52.8249,117.3076,-29.24,100,65,0.8,RU,1675552895
253,Tynda,55.1667,124.7167,-31.03,100,93,0.76,RU,1675552895
254,Lüderitz,-26.6481,15.1594,17.89,83,42,7.06,NA,1675552885
255,Mehamn,71.0357,27.8492,-3.03,74,78,4.63,NO,1675552896
256,Oistins,13.0667,-59.5333,26.05,78,75,8.75,BB,1675552878
257,Walvis Bay,-22.9575,14.5053,17.83,80,100,4.64,NA,1675552896
258,Cabo San Lucas,22.8909,-109.9124,26.45,48,0,3.6,MX,1675552896
259,Kalmunai,7.4167,81.8167,24.52,87,91,3.72,LK,1675552897
260,Granja,-3.1203,-40.8261,25.5,84,67,3.42,BR,1675552897
261,Qasigiannguit,68.8193,-51.1922,-18.86,99,77,2.66,GL,1675552897
262,Puerto del Rosario,28.5004,-13.8627,14.86,67,0,3.09,ES,1675552898
263,Oodweyne,9.4092,45.064,17.15,26,70,5.25,SO,1675552898
264,Birin,26.8865,88.0718,8.0,69,4,1.65,NP,1675552898
265,Shōbara,34.85,133.0167,1.47,85,29,0.48,JP,1675552899
266,Quelimane,-17.8786,36.8883,23.24,89,27,1.14,MZ,1675552899
267,Monastyryshche,48.9909,29.8047,-5.09,74,100,5.36,UA,1675552899
268,Namatanai,-3.6667,152.4333,27.21,78,100,1.42,PG,1675552894
269,Cidreira,-30.1811,-50.2056,23.36,75,57,4.75,BR,1675552900
270,Parrita,9.5201,-84.3225,28.25,65,9,1.87,CR,1675552900
271,Abu Dhabi,24.4667,54.3667,18.31,81,0,0.0,AE,1675552840
272,Osa,57.2829,55.4567,-16.44,96,100,0.41,RU,1675552901
273,Jiamusi,46.8333,130.35,-15.37,97,100,1.58,CN,1675552901
274,Nkongsamba,4.9547,9.9404,20.36,94,42,0.25,CM,1675552901
